Title,Genre,Language,Year,Rating
The Shawshank Redemption,Drama,English,1994,9.3
The Godfather,Crime,English,1972,9.2
The Dark Knight,Action,English,2008,9
Jai Bhim,Drama,Tamil,2021,8.8
Inception,Sci-Fi,English,2010,8.8
Fight Club,Drama,English,1999,8.8
Forrest Gump,Drama,English,1994,8.8
Soorarai Pottru,Biography,Tamil,2020,8.7
The Matrix,Sci-Fi,English,1999,8.7
Kumbalangi Nights,Drama,Malayalam,2019,8.6
96,Romance,Tamil,2018,8.6
Sita Ramam,Romance,Telugu,2022,8.6
Interstellar,Sci-Fi,English,2014,8.6
Aaranya Kaandam,Action,Tamil,2010,8.6
Drishyam,Thriller,Malayalam,2013,8.5
Kaithi,Action,Tamil,2019,8.5
Asuran,Drama,Tamil,2019,8.5
Jersey,Sports,Telugu,2019,8.5
Mahanati,Biography,Telugu,2018,8.5
The Prestige,Mystery,English,2006,8.5
Gladiator,Action,English,2000,8.5
Whiplash,Drama,English,2014,8.5
Vada Chennai,Crime,Tamil,2018,8.4
Dangal,Biography,Hindi,2016,8.4
3 Idiots,Comedy,Hindi,2009,8.4
Taare Zameen Par,Drama,Hindi,2007,8.4
Shershaah,War,Hindi,2021,8.4
Agent Sai Srinivasa Athreya,Comedy,Telugu,2019,8.4
Avengers: Infinity War,Action,English,2018,8.4
Avengers: Endgame,Action,English,2019,8.4
Premam,Romance,Malayalam,2015,8.3
Maheshinte Prathikaaram,Drama,Malayalam,2016,8.3
Bangalore Days,Romance,Malayalam,2014,8.3
Ustad Hotel,Drama,Malayalam,2012,8.3
Vikram,Action,Tamil,2022,8.3
Super Deluxe,Drama,Tamil,2019,8.3
Raatchasan,Thriller,Tamil,2018,8.3
Vikram Vedha,Action,Tamil,2017,8.3
Take Off,Thriller,Malayalam,2017,8.2
Thondimuthalum Driksakshiyum,Drama,Malayalam,2017,8.2
Chak De! India,Sports,Hindi,2007,8.2
Paan Singh Tomar,Biography,Hindi,2012,8.2
Zindagi Na Milegi Dobara,Drama,Hindi,2011,8.2
Andhadhun,Thriller,Hindi,2018,8.2
Major,Biography,Telugu,2022,8.2
Shutter Island,Mystery,English,2010,8.2
Maanaadu,Action,Tamil,2021,8.2
Spider-Man: No Way Home,Action,English,2021,8.2
Maanagaram,Thriller,Tamil,2017,8.1
Lagaan,Drama,Hindi,2001,8.1
Barfi!,Romance,Hindi,2012,8.1
Queen,Drama,Hindi,2013,8.1
Kahaani,Thriller,Hindi,2012,8.1
Baahubali,Action,Telugu,2015,8.1
Drushyam,Thriller,Telugu,2014,8.1
Dune,Sci-Fi,English,2021,8.1
Hridayam,Romance,Malayalam,2022,8.1
Ghilli,Action,Tamil,2004,8.1
Guardians of the Galaxy Vol. 3,Sci-Fi,English,2023,8.1
Uyare,Drama,Malayalam,2019,8
Traffic,Thriller,Malayalam,2011,8
